,feature,importance
289,svd_118,98.0
290,svd_119,141.6
291,svd_12,169.8
292,svd_120,154.0
293,svd_121,126.4
294,svd_122,110.0
295,svd_123,136.8
296,svd_124,125.8
297,svd_125,108.8
298,svd_126,145.2
299,svd_127,112.8
300,svd_128,117.4
301,svd_129,94.6
302,svd_13,169.2
303,svd_130,149.0
304,svd_131,114.0
305,svd_132,96.8
306,svd_133,233.6
307,svd_134,112.4
308,svd_135,90.0
309,svd_136,112.6
310,svd_137,150.0
311,svd_138,139.6
312,svd_139,116.4
313,svd_14,83.0
314,svd_140,136.4
315,svd_141,129.4
316,svd_142,176.2
317,svd_143,140.6
318,svd_144,191.4
319,svd_145,97.8
320,svd_146,100.4
321,svd_147,160.6
322,svd_148,125.0
323,svd_149,102.4
324,svd_15,144.2
325,svd_150,111.4
326,svd_151,187.6
327,svd_152,175.0
328,svd_153,155.6
329,svd_154,120.8
330,svd_155,192.6
331,svd_156,98.4
332,svd_157,169.6
333,svd_158,94.0
334,svd_159,139.4
335,svd_16,114.4
336,svd_160,134.8
337,svd_161,158.6
338,svd_162,201.8
339,svd_163,128.6
340,svd_164,108.2
341,svd_165,135.0
342,svd_166,96.8
343,svd_167,118.8
344,svd_168,128.2
345,svd_169,129.2
346,svd_17,151.6
347,svd_170,119.0
348,svd_171,105.2
349,svd_172,127.4
350,svd_173,142.8
351,svd_174,183.0
352,svd_175,132.6
353,svd_176,171.0
354,svd_177,121.8
355,svd_178,121.6
356,svd_179,152.0
357,svd_18,113.6
358,svd_180,169.4
359,svd_181,197.2
360,svd_182,140.4
361,svd_183,171.8
362,svd_184,98.0
363,svd_185,99.0
364,svd_186,169.2
365,svd_187,84.4
366,svd_188,133.2
367,svd_189,131.6
368,svd_19,161.6
369,svd_190,124.6
370,svd_191,125.2
371,svd_192,124.4
372,svd_193,105.8
373,svd_194,83.4
374,svd_195,116.6
375,svd_196,146.4
376,svd_197,109.2
377,svd_198,152.0
378,svd_199,122.0
379,svd_2,123.8
380,svd_20,136.8
381,svd_21,182.4
382,svd_22,115.6
383,svd_23,99.2
384,svd_24,155.2
385,svd_25,134.4
386,svd_26,93.6
387,svd_27,97.0
388,svd_28,141.2
389,svd_29,146.2
390,svd_3,181.8
391,svd_30,210.2
392,svd_31,110.4
393,svd_32,121.2
394,svd_33,121.4
395,svd_34,173.6
396,svd_35,146.2
397,svd_36,145.0
398,svd_37,118.0
399,svd_38,131.2
400,svd_39,137.0
401,svd_4,166.8
402,svd_40,210.4
403,svd_41,144.8
404,svd_42,113.0
405,svd_43,142.2
406,svd_44,106.2
407,svd_45,174.2
408,svd_46,274.6
409,svd_47,103.6
410,svd_48,118.0
411,svd_49,143.8
412,svd_5,80.4
413,svd_50,81.8
414,svd_51,137.4
415,svd_52,158.8
416,svd_53,181.4
417,svd_54,170.2
418,svd_55,138.4
419,svd_56,96.6
420,svd_57,123.0
421,svd_58,155.6
422,svd_59,140.2
423,svd_6,119.8
424,svd_60,93.6
425,svd_61,132.2
426,svd_62,106.4
427,svd_63,138.6
428,svd_64,143.4
429,svd_65,135.0
430,svd_66,171.4
431,svd_67,116.2
432,svd_68,118.8
433,svd_69,190.8
434,svd_7,101.2
435,svd_70,216.6
436,svd_71,148.0
437,svd_72,99.8
438,svd_73,105.4
439,svd_74,131.2
440,svd_75,158.0
441,svd_76,157.4
442,svd_77,124.4
443,svd_78,171.6
444,svd_79,105.6
445,svd_8,164.4
446,svd_80,132.0
447,svd_81,184.0
448,svd_82,129.4
449,svd_83,125.4
450,svd_84,116.2
451,svd_85,102.0
452,svd_86,108.4
453,svd_87,123.8
454,svd_88,111.0
455,svd_89,130.0
456,svd_9,121.0
457,svd_90,149.2
458,svd_91,110.8
459,svd_92,152.8
460,svd_93,155.2
461,svd_94,119.6
462,svd_95,128.0
463,svd_96,190.8
464,svd_97,132.0
465,svd_98,109.6
466,svd_99,108.4
467,vertex_x,217.8
468,vertex_y,415.6
