,feature,importance
289,svd_117,204.8
290,svd_118,267.0
291,svd_119,278.4
292,svd_12,238.0
293,svd_120,160.8
294,svd_121,228.2
295,svd_122,213.2
296,svd_123,294.8
297,svd_124,215.6
298,svd_125,212.6
299,svd_126,180.6
300,svd_127,195.6
301,svd_128,209.8
302,svd_129,176.8
303,svd_13,260.8
304,svd_130,199.6
305,svd_131,272.8
306,svd_132,179.2
307,svd_133,198.6
308,svd_134,146.2
309,svd_135,217.6
310,svd_136,183.2
311,svd_137,276.6
312,svd_138,183.8
313,svd_139,219.6
314,svd_14,147.2
315,svd_140,158.0
316,svd_141,203.0
317,svd_142,204.6
318,svd_143,227.6
319,svd_144,209.2
320,svd_145,205.6
321,svd_146,272.8
322,svd_147,258.4
323,svd_148,196.0
324,svd_149,211.8
325,svd_15,207.2
326,svd_150,204.4
327,svd_151,215.6
328,svd_152,250.6
329,svd_153,288.4
330,svd_154,206.4
331,svd_155,222.0
332,svd_156,237.2
333,svd_157,271.0
334,svd_158,224.0
335,svd_159,197.4
336,svd_16,211.4
337,svd_160,186.0
338,svd_161,201.8
339,svd_162,266.4
340,svd_163,285.2
341,svd_164,232.0
342,svd_165,196.6
343,svd_166,350.2
344,svd_167,211.4
345,svd_168,257.4
346,svd_169,212.0
347,svd_17,206.6
348,svd_170,261.4
349,svd_171,196.2
350,svd_172,199.2
351,svd_173,195.4
352,svd_174,196.6
353,svd_175,229.4
354,svd_176,159.0
355,svd_177,201.2
356,svd_178,241.8
357,svd_179,211.4
358,svd_18,185.6
359,svd_180,244.0
360,svd_181,189.8
361,svd_182,238.4
362,svd_183,227.6
363,svd_184,353.2
364,svd_185,177.2
365,svd_186,197.2
366,svd_187,215.4
367,svd_188,190.6
368,svd_189,196.2
369,svd_19,249.8
370,svd_190,202.4
371,svd_191,252.6
372,svd_192,249.0
373,svd_193,223.0
374,svd_194,259.0
375,svd_195,231.4
376,svd_196,207.8
377,svd_197,187.2
378,svd_198,180.4
379,svd_199,318.4
380,svd_2,161.4
381,svd_20,219.6
382,svd_21,253.8
383,svd_22,213.0
384,svd_23,155.8
385,svd_24,193.8
386,svd_25,193.4
387,svd_26,191.0
388,svd_27,218.2
389,svd_28,216.0
390,svd_29,274.6
391,svd_3,174.0
392,svd_30,301.4
393,svd_31,218.4
394,svd_32,190.4
395,svd_33,206.0
396,svd_34,199.2
397,svd_35,215.2
398,svd_36,179.6
399,svd_37,259.4
400,svd_38,230.6
401,svd_39,252.8
402,svd_4,224.0
403,svd_40,235.4
404,svd_41,241.2
